2026-03-14 20:23:45,972 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#1]                 Book.java:2525 | Book stored as C:\Users\llama\OneDrive\Documents\orchestra\outputs\ffd56ae2080d\omr_out\d86b142c2864_Love_Never_Leaves_EPRINT-Octavo.omr
2026-03-14 20:23:45,978 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#1]            SheetStub.java:1654 | Sheet#1 disposed
2026-03-14 20:23:46,006 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#1]                 Book.java:2050 | End of Stub#1
2026-03-14 20:23:46,008 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | LOAD
2026-03-14 20:23:46,726 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]            SheetStub.java:1278 | Loaded image #2 2550x3299 from C:\Users\llama\OneDrive\Documents\orchestra\uploads\d86b142c2864_Love_Never_Leaves_EPRINT-Octavo.pdf
2026-03-14 20:23:46,727 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | BINARY
2026-03-14 20:23:47,133 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | SCALE
2026-03-14 20:23:47,139 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]         ScaleBuilder.java:241  | Beam  guessed height:  8 -- 0.50 of 16 interline
2026-03-14 20:23:47,140 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]         ScaleBuilder.java:264  | Beam measured height:  6 -- 0.09 of [5..16] range at 188% of needed quorum
2026-03-14 20:23:47,140 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]         ScaleBuilder.java:392  | Normalized black jitter: 11.76 %
2026-03-14 20:23:47,140 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]            ScaleStep.java:65   | Scale{ interline(17,17,18) line(2,2,4) beam(6)}
2026-03-14 20:23:47,140 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | GRID
2026-03-14 20:23:47,241 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-03-14 20:23:47,251 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]    ClustersRetriever.java:326  | Retrieved raw line clusters: 9 of sizes [5] with interline(17,17,18)
2026-03-14 20:23:47,321 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]            PeakGraph.java:310  | Systems: #1[1, 2, 3] #2[4, 5, 6] #3[7, 8, 9]
2026-03-14 20:23:47,437 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]        SystemManager.java:779  | 2 parts along 3 systems
2026-03-14 20:23:47,438 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | HEADERS
2026-03-14 20:23:47,524 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | STEM_SEEDS
2026-03-14 20:23:47,552 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]        StemSeedsStep.java:86   | stem(2 max:4)
2026-03-14 20:23:47,558 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | BEAMS
2026-03-14 20:23:48,799 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | LEDGERS
2026-03-14 20:23:48,898 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | HEADS
2026-03-14 20:23:51,181 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[L:0.4,R:0.5] NOTEHEAD_BLACK[R:0.5]}
2026-03-14 20:23:51,183 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | STEMS
2026-03-14 20:23:51,341 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | REDUCTION
2026-03-14 20:23:51,363 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]        ReductionStep.java:105  | Stems free length median value: 62 pixels, 3.6 interlines
2026-03-14 20:23:51,364 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | CUE_BEAMS
2026-03-14 20:23:51,364 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
